,Less than 180 days,,Between 180 and 270 days (10% acruals),,Between 270 and 360 days (50% acruals),,More than 360 days (100% acruals),,Total,,previous month total,
,Acruals <180,Stock <180,Acruals>180,Stock>180,Acruals>270,Stock>270 ,Acruals>360,Stock>360,TotalAcruals,totalStock ,prevAcruals,prevStock 
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
Total 1,0,928270.81,741.596,7415.96,8673.02,17346.04,153153.59,153153.59,162568.206,1106186.4,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
Total 1,0,1533.58,148.59,1485.9,8673.02,17346.04,113176.36,113176.36,121997.97,133541.88,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,3814.11,325.62,3256.2,17346.04,34692.08,255464.1,255464.1,273135.76,297226.49,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,1581.16,148.59,1485.9,8673.02,17346.04,120509.27,120509.27,129330.88,140922.37,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
Total 1,0,1533.58,148.59,1485.9,8673.02,17346.04,113176.36,113176.36,121997.97,133541.88,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,306173.7,5040.701,50407.01,32173.35,64346.7,187329.19,153390.41,224543.241,608256.6,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,120626.41,2161.527,21615.27,20944.55,41889.1,122639.51,88700.73,145745.587,306770.29,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
Total 1,0,1254874.14,7163.778,71637.78,25004.04,50008.08,74660.69,40721.91,106828.508,1451180.69,106099.515,1816720.86
ACC,0,699.37,28.44,284.4,0,0,25311.41,25311.41,25339.85,26295.18,26844.405,29157.42
atsarginiai lipdukai,0,0,0,0,0,0,3532.94,3532.94,3532.94,3532.94,2911.55,3532.94
Eco4,0,583.72,0,0,5279.525,10559.05,14171.85,14171.85,19451.375,25314.62,20788.535,27438.61
FLS,0,949.86,148.59,1485.9,3393.495,6786.99,70995.94,70995.94,74538.025,80218.69,94185.649,105712.93
PBA,0,0,0,0,0,0,24475.63,24475.63,24475.63,24475.63,26104.76,26104.76
plug5,0,0,0,0,0,0,0,0,0,0,3681.245,4799.95
x,0,47.58,0,0,0,0,7332.91,7332.91,7332.91,7380.49,17115.02,17162.6
Total 2,0,2280.53,177.03,1770.3,8673.02,17346.04,145820.68,145820.68,154670.73,167217.55,191631.164,213909.21
A,0,462971.35,282.283,2822.83,0,0,0,0,282.283,465794.18,1625.351,666164.87
B,0,488057.2,2017.824,20178.24,1503.71,3007.42,40485.09,40485.09,44006.624,551727.95,42834.204,679737.62
C,0,184752.76,2850.734,28507.34,11228.8,22457.6,236.82,236.82,14316.354,235954.52,16211.023,243545.4
D,0,119092.83,2012.937,20129.37,12271.53,24543.06,33938.78,,48223.247,197704.04,45428.937,227272.97
